Status,FeatureType,PropertyName,SubPropertyName,GISPropNum,OMPPropID,Borough,District,x,y
Activated,Drinking Fountain Spray Adapter,Railroad Playground,,B271,B271,Brooklyn,B-17,1008095.57237555,175813.610036805
Activated,Other,Van Cortlandt Park,,X092,X092,Bronx,X-13,1012979.47861821,264907.948251977
Activated,CS Spray Adapter,St. Mary's Park,St Mary's Playground East,X045,X045-01,Bronx,X-01,1009039.14791622,234367.129084393
Activated,Misting Station,Rienzi Playground,,X141,X141,Bronx,X-12,1023310.77226005,262694.94283548
Activated,Misting Station,Mount Hope Playground,,X257,X257,Bronx,X-05,1009388.39328071,249100.416874974
Activated,Misting Station,Jackie Robinson Park,Plgd One Fifty Two CLII,M014,M014-02,Manhattan,M-10,1000914.96731421,240895.399164304
Activated,Buckner Box Spray Adapter,Jackie Robinson Park,"Playground One Forty Nine, CIL",M014,M014-03,Manhattan,M-10,1000561.63796839,240309.848826229
Activated,CS Spray Adapter,Annunciation Playground,,M003,M003,Manhattan,M-09,997514.014142394,237522.66050297
Activated,Misting Station,Col. Young Playground,,M186,M186,Manhattan,M-10,1001906.85279764,237688.066668227
Activated,Misting Station,Donnellan Square,,M023,M023,Manhattan,M-09,1000071.14780764,240491.801546305
Activated,CS Spray Adapter,Sheltering Arms Playground,,M190,M190,Manhattan,M-09,996432.777787804,236327.584152981
Broken,Misting Station,Newport Playground,,B339,B339,Brooklyn,B-16,1009984.02135455,180112.302226811
Activated,RPZ Spray Adapter,Decatur Playground,,B215,B215,Brooklyn,B-03,1001842.74367389,187479.639198139
Broken,Misting Station,Curtis Playground,,B352,B352,Brooklyn,B-18,1007207.67848205,172808.174118563
Activated,Other,Claremont Park,,X008,X008,Bronx,X-04,1010420.08806772,245547.217616558
Activated,Misting Station,Taylor Playground,,X176,X176,Bronx,X-09,1021293.54138638,244969.600989639
,Misting Station,Inwood Hill Park,Emerson Plgd,M042,M042-02,Manhattan,M-12,1005818.38007927,256070.943289365
,Misting Station,Inwood Hill Park,Payson Plgd,M042,M042-01,Manhattan,M-12,1003948.7125585,255278.492119524
,Misting Station,Inwood Park,,M042,M042,Manhattan,M-12,1003742.04236844,257806.196708618
