PropertyName,Outdoor_or_not,filter_or_not
Liotti Ikefugi Playground,outdoor,installed
Midland Playground,outdoor,installed
Lyons Pool,outdoor,installed
Lyons Pool,outdoor,installed
Lyons Pool,indoor,installed
Lyons Pool,indoor,installed
Lyons Pool,indoor,installed
Lyons Pool,indoor,installed
Lyons Pool,indoor,installed
Franklin D. Roosevelt Boardwalk and Beach,outdoor,installed
Franklin D. Roosevelt Boardwalk and Beach,outdoor,installed
Franklin D. Roosevelt Boardwalk and Beach,outdoor,installed
Franklin D. Roosevelt Boardwalk and Beach,outdoor,installed
Franklin D. Roosevelt Boardwalk and Beach,outdoor,installed
Franklin D. Roosevelt Boardwalk and Beach,outdoor,installed
Franklin D. Roosevelt Boardwalk and Beach,outdoor,installed
Christopher J. Igneri Playground,outdoor,installed
Markham Playground,outdoor,installed
Greencroft Playground,outdoor,installed
Lieutenant John H. Martinson Playground,outdoor,installed
Prall Playground,outdoor,installed
CPL. Thompson Park,indoor,installed
CPL. Thompson Park,indoor,installed
Jennifer's Playground,outdoor,installed
Jennifer's Playground,indoor,installed
Lopez Playground,outdoor,installed
Blood Root Valley,indoor,installed
Sylvan Grove Cemetery,outdoor,installed
Stapleton Esplanade,outdoor,installed
Bronx Park,outdoor,installed
Bronx Park,outdoor,installed
Bryan Park,outdoor,installed
Tremont Park,outdoor,installed
Crotona Park,outdoor,installed
Crotona Park,outdoor,installed
Crotona Park,outdoor,installed
Crotona Park,outdoor,installed
Crotona Park,outdoor,installed
Crotona Park,indoor,installed
Macombs Dam Park,outdoor,installed
Macombs Dam Park,outdoor,installed
Railroad Park,outdoor,installed
Mullaly Park,outdoor,installed
Washington's Walk,outdoor,installed
Pelham Bay Park,outdoor,installed
Pelham Bay Park,outdoor,installed
Pelham Bay Park,indoor,installed
Rose Hill Park,outdoor,installed
St. James Park,outdoor,installed
St. James Park,outdoor,installed
St. James Park,outdoor,installed
St. Mary's Park,outdoor,installed
O'Neill Triangle,outdoor,installed
Henry Hudson Park,outdoor,installed
Slattery Playground,outdoor,installed
Slattery Playground,outdoor,installed
Van Cortlandt Park,outdoor,installed
Van Cortlandt Park,outdoor,installed
Van Cortlandt Park,indoor,installed
Van Cortlandt Park,indoor,installed
Ciccarone Park,outdoor,installed
Ciccarone Park,outdoor,installed
Williamsbridge Oval,outdoor,installed
Williamsbridge Oval,outdoor,installed
Rev J Polite Playground,outdoor,installed
Soundview Park,outdoor,installed
Soundview Park,outdoor,installed
Colucci Playground,outdoor,installed
Noble Playground,outdoor,installed
Noble Playground,outdoor,installed
Watson Gleason Playground,outdoor,installed
Ferry Point Park,outdoor,installed
Lozada Playground,outdoor,installed
Harris Park,outdoor,installed
Virginia Playground,outdoor,installed
P.O. Serrano Playground,outdoor,installed
Merriam Playground,outdoor,installed
Melrose Playground,outdoor,installed
Eastchester Playground,outdoor,installed
Webster Playground,outdoor,installed
Riverbend Playground,outdoor,installed
Captain Rivera Playground,outdoor,installed
Haffen Park,indoor,installed
Haffen Park,indoor,installed
Abigail Playground,outdoor,installed
Arcilla Playground,outdoor,installed
Space Time Playground,outdoor,installed
Gouverneur Playground,outdoor,installed
Fountain Of Youth Playground,outdoor,installed
Estella Diggs Park,outdoor,installed
Grand Playground,outdoor,installed
Fox Playground,outdoor,installed
Fox Playground,outdoor,installed
Co-op City Field,outdoor,installed
Bathgate Playground,outdoor,installed
Bill Rainey Park,outdoor,installed
Bill Rainey Park,outdoor,installed
Mount Hope Playground,outdoor,installed
Cleopatra Playground,outdoor,installed
Vidalia Park,outdoor,installed
Vidalia Park,outdoor,installed
Vidalia Park,outdoor,installed
Vidalia Park,outdoor,installed
Grant Park,outdoor,installed
Washington Park,outdoor,installed
Rev Lena Irons Unity Park,outdoor,installed
Half-Nelson Playground,outdoor,installed
Barretto Point Park,indoor,installed
Mohegan Triangle,outdoor,installed
River Avenue Parks,outdoor,installed
